gain	117	0	-111.13
gain	0	118	-101.18
gain	118	0	-103.30
gain	0	119	-111.88
gain	119	0	-115.21
gain	0	120	-95.24
gain	120	0	-100.27
gain	0	121	-101.16
gain	121	0	-102.48
gain	0	122	-98.25
gain	122	0	-102.16
gain	0	123	-96.29
gain	123	0	-100.47
gain	0	124	-97.00
gain	124	0	-100.88
gain	0	125	-97.67
gain	125	0	-101.86
gain	0	126	-97.36
gain	126	0	-98.51
gain	0	127	-97.76
gain	127	0	-98.10
gain	0	128	-102.66
gain	128	0	-105.58
gain	0	129	-100.91
gain	129	0	-101.60
gain	0	130	-102.04
gain	130	0	-103.13
gain	0	131	-101.87
gain	131	0	-100.85
gain	0	132	-111.93
gain	132	0	-111.59
gain	0	133	-112.12
gain	133	0	-118.57
gain	0	134	-107.78
gain	134	0	-108.73
gain	0	135	-98.98
gain	135	0	-102.29
gain	0	136	-102.05
gain	136	0	-106.58
gain	0	137	-98.81
gain	137	0	-97.22
gain	0	138	-97.98
gain	138	0	-99.72
gain	0	139	-99.84
gain	139	0	-102.03
gain	0	140	-100.85
gain	140	0	-102.34
gain	0	141	-97.93
gain	141	0	-100.52
gain	0	142	-98.07
gain	142	0	-99.84
gain	0	143	-99.23
gain	143	0	-102.29
gain	0	144	-108.36
gain	144	0	-113.72
gain	0	145	-108.41
gain	145	0	-110.32
gain	0	146	-110.83
gain	146	0	-116.26
gain	0	147	-110.10
gain	147	0	-116.30
gain	0	148	-111.46
gain	148	0	-110.24
gain	0	149	-110.62
gain	149	0	-112.91
gain	0	150	-101.75
gain	150	0	-106.10
gain	0	151	-100.01
gain	151	0	-98.95
gain	0	152	-102.99
gain	152	0	-104.82
gain	0	153	-98.70
gain	153	0	-98.30
gain	0	154	-101.34
gain	154	0	-103.12
gain	0	155	-101.94
gain	155	0	-99.24
gain	0	156	-101.20
gain	156	0	-103.97
gain	0	157	-99.87
gain	157	0	-105.04
gain	0	158	-106.86
gain	158	0	-105.12
gain	0	159	-105.74
gain	159	0	-110.20
gain	0	160	-110.33
gain	160	0	-115.50
gain	0	161	-107.03
gain	161	0	-111.18
gain	0	162	-115.94
gain	162	0	-113.42
gain	0	163	-113.99
gain	163	0	-113.56
gain	0	164	-111.72
gain	164	0	-114.19
gain	0	165	-101.88
gain	165	0	-104.41
gain	0	166	-102.91
gain	166	0	-100.88
gain	0	167	-102.12
gain	167	0	-104.62
gain	0	168	-100.16
gain	168	0	-99.50
gain	0	169	-106.40
gain	169	0	-109.72
gain	0	170	-103.36
gain	170	0	-101.76
gain	0	171	-106.14
gain	171	0	-111.01
gain	0	172	-106.72
gain	172	0	-111.59
gain	0	173	-105.43
gain	173	0	-107.90
gain	0	174	-107.37
gain	174	0	-111.93
gain	0	175	-110.11
gain	175	0	-115.98
gain	0	176	-110.28
gain	176	0	-108.35
gain	0	177	-108.47
gain	177	0	-108.08
gain	0	178	-105.84
gain	178	0	-109.58
gain	0	179	-108.84
gain	179	0	-111.34
gain	0	180	-106.59
gain	180	0	-110.96
gain	0	181	-104.84
gain	181	0	-109.05
gain	0	182	-110.84
gain	182	0	-113.69
gain	0	183	-102.98
gain	183	0	-109.10
gain	0	184	-107.66
gain	184	0	-114.92
gain	0	185	-101.64
gain	185	0	-105.17
gain	0	186	-108.17
gain	186	0	-112.94
gain	0	187	-112.33
gain	187	0	-114.69
gain	0	188	-109.02
gain	188	0	-110.66
gain	0	189	-108.69
gain	189	0	-111.51
